Tier 1 Common Cards: 
6124
Tier 1 Uncommon Cards: 
9038
Tier 1 Rare Cards: 
12360
Tier 2 Common Cards: 
50383
Tier 2 Uncommon Cards: 
58438
Tier 2 Rare Cards: 
66093
Tier 3 Common Cards: 
89001
Tier 3 Uncommon Cards: 
86694
Tier 3 Rare Cards: 
83199
Total Cards
461330
(2, 2, 2, 2, 1, 1, 1, 2, 2, 6)
(2, 2, 2, 2, 1, 1, 1, 2, 4, 4)
(2, 2, 2, 2, 1, 1, 1, 2, 6, 2)
(2, 2, 2, 2, 1, 1, 1, 4, 2, 4)
(2, 2, 2, 2, 1, 1, 1, 4, 4, 2)
(2, 2, 2, 2, 1, 1, 1, 6, 2, 2)
(2, 2, 2, 2, 1, 1, -1, 2, 4, 6)
(2, 2, 2, 2, 1, 1, -1, 2, 6, 4)
(2, 2, 2, 2, 1, 1, -1, 4, 2, 6)
(2, 2, 2, 2, 1, 1, -1, 4, 4, 4)
(2, 2, 2, 2, 1, 1, -1, 4, 6, 2)
(2, 2, 2, 2, 1, 1, -1, 6, 2, 4)
(2, 2, 2, 2, 1, 1, -1, 6, 4, 2)
(2, 2, 2, 2, 1, -1, 1, 2, 4, 6)
(2, 2, 2, 2, 1, -1, 1, 2, 6, 4)
(2, 2, 2, 2, 1, -1, 1, 4, 2, 6)
(2, 2, 2, 2, 1, -1, 1, 4, 4, 4)
(2, 2, 2, 2, 1, -1, 1, 4, 6, 2)
(2, 2, 2, 2, 1, -1, 1, 6, 2, 4)
(2, 2, 2, 2, 1, -1, 1, 6, 4, 2)
(2, 2, 2, 2, 1, -1, -1, 2, 6, 6)
(2, 2, 2, 2, 1, -1, -1, 4, 4, 6)
(2, 2, 2, 2, 1, -1, -1, 4, 6, 4)
(2, 2, 2, 2, 1, -1, -1, 6, 2, 6)
(2, 2, 2, 2, 1, -1, -1, 6, 4, 4)
(2, 2, 2, 2, 1, -1, -1, 6, 6, 2)
(2, 2, 2, 2, 1, 0, 0, 2, 4, 6)
(2, 2, 2, 2, 1, 0, 0, 2, 6, 4)
(2, 2, 2, 2, 1, 0, 0, 4, 2, 6)
(2, 2, 2, 2, 1, 0, 0, 4, 4, 4)
(2, 2, 2, 2, 1, 0, 0, 4, 6, 2)
(2, 2, 2, 2, 1, 0, 0, 6, 2, 4)
(2, 2, 2, 2, 1, 0, 0, 6, 4, 2)
(2, 2, 2, 2, 1, 2, 0, 2, 2, 6)
(2, 2, 2, 2, 1, 2, 0, 2, 4, 4)
(2, 2, 2, 2, 1, 2, 0, 2, 6, 2)
(2, 2, 2, 2, 1, 2, 0, 4, 2, 4)
(2, 2, 2, 2, 1, 2, 0, 4, 4, 2)
(2, 2, 2, 2, 1, 2, 0, 6, 2, 2)
(2, 2, 2, 2, 1, -1, 1, 2, 4, 6)
(2, 2, 2, 2, 1, -1, 1, 2, 6, 4)
(2, 2, 2, 2, 1, -1, 1, 4, 2, 6)
(2, 2, 2, 2, 1, -1, 1, 4, 4, 4)
(2, 2, 2, 2, 1, -1, 1, 4, 6, 2)
(2, 2, 2, 2, 1, -1, 1, 6, 2, 4)
(2, 2, 2, 2, 1, -1, 1, 6, 4, 2)
(2, 2, 2, 2, 1, -1, -1, 2, 6, 6)
(2, 2, 2, 2, 1, -1, -1, 4, 4, 6)
(2, 2, 2, 2, 1, -1, -1, 4, 6, 4)
(2, 2, 2, 2, 1, -1, -1, 6, 2, 6)
(2, 2, 2, 2, 1, -1, -1, 6, 4, 4)
(2, 2, 2, 2, 1, -1, -1, 6, 6, 2)
(2, 2, 2, 2, -1, 1, 1, 2, 4, 6)
(2, 2, 2, 2, -1, 1, 1, 2, 6, 4)
(2, 2, 2, 2, -1, 1, 1, 4, 2, 6)
(2, 2, 2, 2, -1, 1, 1, 4, 4, 4)
(2, 2, 2, 2, -1, 1, 1, 4, 6, 2)
(2, 2, 2, 2, -1, 1, 1, 6, 2, 4)
(2, 2, 2, 2, -1, 1, 1, 6, 4, 2)
(2, 2, 2, 2, -1, 1, -1, 2, 6, 6)
